Date,Stock H
3/05/2022,106.96683
4/05/2022,104.43046
5/05/2022,105.45476
6/05/2022,100.47956
9/05/2022,93.455747
10/05/2022,93.748406
11/05/2022,95.065371
12/05/2022,92.236335
13/05/2022,95.943348
16/05/2022,95.35803
17/05/2022,91.455911
18/05/2022,93.065535
19/05/2022,93.40697
20/05/2022,94.480053
23/05/2022,93.455747
24/05/2022,94.821489
25/05/2022,94.772712
26/05/2022,95.992124
27/05/2022,96.821324
30/05/2022,99.406478
31/05/2022,100.23568
1/06/2022,99.308925
2/06/2022,97.552972
3/06/2022,98.723607
6/06/2022,98.528501
7/06/2022,94.870265
8/06/2022,94.772712
9/06/2022,93.211865
10/06/2022,90.626711
14/06/2022,87.358686
15/06/2022,83.55412
16/06/2022,85.553956
17/06/2022,83.456567
20/06/2022,86.285604
21/06/2022,85.50518
22/06/2022,84.139438
23/06/2022,88.236663
24/06/2022,91.114476
27/06/2022,91.992452
28/06/2022,92.626547
29/06/2022,89.504852
30/06/2022,87.734426
1/07/2022,89.652387
4/07/2022,92.16049
5/07/2022,91.275277
6/07/2022,94.76695
7/07/2022,94.373522
8/07/2022,93.291595
11/07/2022,91.767062
12/07/2022,91.422813
13/07/2022,93.586666
14/07/2022,92.652275
15/07/2022,93.193238
18/07/2022,93.881737
19/07/2022,91.422813
20/07/2022,94.275165
21/07/2022,94.176808
22/07/2022,94.570236
25/07/2022,95.160378
26/07/2022,95.111199
27/07/2022,95.602984
28/07/2022,97.324231
29/07/2022,101.79947
1/08/2022,101.55358
2/08/2022,100.47165
3/08/2022,100.66837
4/08/2022,100.8159
5/08/2022,102.43879
8/08/2022,98.9963
9/08/2022,100.8159
10/08/2022,98.209444
11/08/2022,102.14372
12/08/2022,99.291371
15/08/2022,101.55358
16/08/2022,101.0618
17/08/2022,103.5699
18/08/2022,103.47154
19/08/2022,100.76673
22/08/2022,99.34055
23/08/2022,97.127518
24/08/2022,95.160378
25/08/2022,99.045479
26/08/2022,100.91426
29/08/2022,98.9963
30/08/2022,99.094657
31/08/2022,96.73409
1/09/2022,94.275165
2/09/2022,94.471879
5/09/2022,92.701453
6/09/2022,92.553918
7/09/2022,91.422813
8/09/2022,94.717772
9/09/2022,93.685023
12/09/2022,94.324344
13/09/2022,96.783268
14/09/2022,91.914598
15/09/2022,89.947458
16/09/2022,87.537712
19/09/2022,87.881961
20/09/2022,87.734426
21/09/2022,86.30825
23/09/2022,83.111648
26/09/2022,82.521506
27/09/2022,80.456009
28/09/2022,79.177369
29/09/2022,79.816689
30/09/2022,77.603657
3/10/2022,77.898728
4/10/2022,82.324792
5/10/2022,84.980431
6/10/2022,82.865755
7/10/2022,80.947794
10/10/2022,79.374083
11/10/2022,78.095442
12/10/2022,78.48887
13/10/2022,77.406943
14/10/2022,78.734762
17/10/2022,78.833119
18/10/2022,81.73465
19/10/2022,82.177257
20/10/2022,81.242865
21/10/2022,78.292156
24/10/2022,80.11176
25/10/2022,81.439579
26/10/2022,83.35754
27/10/2022,83.259183
28/10/2022,82.373971
31/10/2022,83.603433
1/11/2022,86.800035
2/11/2022,84.144396
3/11/2022,83.455897
4/11/2022,82.767398
7/11/2022,83.505076
8/11/2022,83.750968
9/11/2022,84.242753
10/11/2022,84.734538
11/11/2022,89.849101
14/11/2022,89.357316
15/11/2022,87.93114
16/11/2022,87.980318
17/11/2022,89.406495
18/11/2022,90.291707
21/11/2022,89.111424
22/11/2022,89.258959
23/11/2022,89.652387
24/11/2022,91.275277
25/11/2022,92.308026
28/11/2022,92.996524
29/11/2022,91.914598
30/11/2022,94.029273
1/12/2022,94.422701
2/12/2022,90.5376
5/12/2022,92.111312
6/12/2022,91.078563
7/12/2022,88.521282
8/12/2022,89.652387
9/12/2022,89.406495
12/12/2022,89.504852
13/12/2022,90.045815
14/12/2022,91.471991
15/12/2022,90.734314
16/12/2022,89.603209
19/12/2022,88.078675
20/12/2022,84.095218
21/12/2022,86.062357
22/12/2022,87.193463
23/12/2022,85.718108
28/12/2022,85.668929
29/12/2022,86.160714
30/12/2022,86.111111
3/01/2023,85.863095
4/01/2023,88.144841
5/01/2023,87.698413
6/01/2023,87.053571
9/01/2023,88.293651
10/01/2023,88.492063
11/01/2023,91.021825
