Date,Stock G
1/09/2022,85.86471
2/09/2022,84.55103
6/09/2022,85.55725
7/09/2022,87.20635
8/09/2022,87.2902
9/09/2022,89.1629
12/09/2022,90.9238
13/09/2022,86.73118
14/09/2022,85.94856
15/09/2022,86.73118
16/09/2022,86.53553
19/09/2022,86.75913
20/09/2022,85.6411
21/09/2022,84.32742
22/09/2022,83.12554
23/09/2022,82.67833
26/09/2022,80.97333
27/09/2022,79.40809
28/09/2022,81.02923
29/09/2022,79.18914
30/09/2022,79.80671
3/10/2022,81.91206
4/10/2022,82.47348
5/10/2022,80.59271
6/10/2022,78.76807
7/10/2022,76.83115
10/10/2022,75.37144
11/10/2022,76.83115
12/10/2022,78.03822
13/10/2022,80.05935
14/10/2022,77.7575
17/10/2022,81.99627
18/10/2022,81.60327
19/10/2022,79.133
20/10/2022,78.79614
21/10/2022,79.61021
24/10/2022,80.03128
25/10/2022,83.79283
26/10/2022,84.52269
27/10/2022,85.92625
28/10/2022,89.24335
31/10/2022,89.01791
1/11/2022,89.66603
2/11/2022,88.79248
3/11/2022,88.31343
4/11/2022,89.24335
7/11/2022,89.60967
8/11/2022,89.15881
9/11/2022,87.4117
10/11/2022,95.30186
11/11/2022,92.8221
14/11/2022,91.58221
15/11/2022,92.08944
16/11/2022,92.11762
17/11/2022,90.87774
18/11/2022,92.31487
21/11/2022,92.37123
22/11/2022,92.11762
23/11/2022,92.11762
25/11/2022,92.25851
28/11/2022,88.42615
29/11/2022,90.26249
30/11/2022,93.09115
1/12/2022,93.11944
2/12/2022,93.51545
5/12/2022,91.47882
6/12/2022,90.63022
7/12/2022,92.18598
8/12/2022,93.57202
9/12/2022,93.74174
12/12/2022,94.42062
13/12/2022,96.11782
14/12/2022,96.37239
15/12/2022,94.39233
16/12/2022,91.9314
19/12/2022,91.5071
20/12/2022,90.68679
21/12/2022,92.24255
22/12/2022,92.27084
23/12/2022,93.06286
27/12/2022,93.60031
28/12/2022,91.22424
29/12/2022,93.46359
30/12/2022,91.73173
3/01/2023,91.8453
4/01/2023,96.04718
5/01/2023,92.32795
6/01/2023,95.19545
9/01/2023,94.79797
10/01/2023,94.17337
11/01/2023,98.60239
12/01/2023,100.533
13/01/2023,99.34056
17/01/2023,98.94308
18/01/2023,97.921
19/01/2023,97.66548
20/01/2023,97.94939
23/01/2023,99.96516
24/01/2023,99.22699
25/01/2023,99.62447
26/01/2023,100.8453
27/01/2023,101.6402
30/01/2023,99.94387
31/01/2023,101.4254
1/02/2023,102.1946
2/02/2023,104.9297
3/02/2023,103.4197
6/02/2023,103.5621
7/02/2023,103.7046
8/02/2023,102.7929
9/02/2023,100.0008
10/02/2023,99.43104
13/02/2023,101.7672
14/02/2023,101.2544
15/02/2023,101.5393
16/02/2023,100.0293
17/02/2023,101.0265
21/02/2023,98.94671
22/02/2023,98.34841
23/02/2023,98.06351
24/02/2023,97.18031
27/02/2023,97.24441
28/02/2023,96.18648
1/03/2023,94.32794
2/03/2023,95.87196
3/03/2023,97.81627
6/03/2023,97.58753
7/03/2023,95.21432
8/03/2023,95.61462
9/03/2023,93.27
10/03/2023,89.69589
13/03/2023,91.18272
14/03/2023,92.49799
15/03/2023,92.75533
16/03/2023,93.04126
17/03/2023,91.23991
20/03/2023,93.41297
21/03/2023,93.38437
22/03/2023,90.83961
23/03/2023,91.09694
24/03/2023,93.52734
27/03/2023,94.27075
28/03/2023,94.38512
29/03/2023,95.35728
30/03/2023,95.39302
31/03/2023,97.05752
3/04/2023,95.93829
4/04/2023,95.65131
5/04/2023,95.22083
6/04/2023,95.04864
10/04/2023,94.38858
11/04/2023,93.32675
12/04/2023,93.15456
13/04/2023,93.87202
14/04/2023,92.86758
17/04/2023,95.16344
18/04/2023,95.30693
19/04/2023,96.39746
20/04/2023,96.85664
21/04/2023,97.86107
24/04/2023,97.31581
25/04/2023,96.42616
26/04/2023,95.22083
27/04/2023,97.75346
28/04/2023,97.55184
,
,
,
,
,
,
,
,
,
,
