Date,Stock E
12/09/2022,98.52132
13/09/2022,95.96208
14/09/2022,94.78373
15/09/2022,93.80791
16/09/2022,92.79526
19/09/2022,92.18767
20/09/2022,90.93567
21/09/2022,89.55479
22/09/2022,88.98403
23/09/2022,88.17391
26/09/2022,85.24644
27/09/2022,82.92656
28/09/2022,84.45474
29/09/2022,81.81265
30/09/2022,83.05448
3/10/2022,85.27866
4/10/2022,87.03946
5/10/2022,85.38987
6/10/2022,83.74027
7/10/2022,82.38723
10/10/2022,81.21953
11/10/2022,82.16481
12/10/2022,81.73851
13/10/2022,83.07302
14/10/2022,81.31221
17/10/2022,84.66701
18/10/2022,84.24071
19/10/2022,81.73851
20/10/2022,82.29455
21/10/2022,82.40576
24/10/2022,82.53551
25/10/2022,86.76144
26/10/2022,86.79851
27/10/2022,87.35456
28/10/2022,88.52225
31/10/2022,88.2813
1/11/2022,87.66965
2/11/2022,86.37221
3/11/2022,85.70496
4/11/2022,86.55756
7/11/2022,87.26188
8/11/2022,87.63258
9/11/2022,87.1136
10/11/2022,93.67493
11/11/2022,92.26628
14/11/2022,90.3572
15/11/2022,90.13478
16/11/2022,89.87529
17/11/2022,89.35632
18/11/2022,90.98738
21/11/2022,91.43221
22/11/2022,92.32189
23/11/2022,92.118
25/11/2022,93.15595
28/11/2022,90.15331
29/11/2022,91.43221
30/11/2022,93.69346
1/12/2022,93.84174
2/12/2022,93.93441
5/12/2022,92.4887
6/12/2022,91.72877
7/12/2022,92.118
8/12/2022,91.32101
9/12/2022,90.59815
12/12/2022,92.30335
13/12/2022,93.69346
14/12/2022,93.3413
15/12/2022,91.04298
16/12/2022,89.78262
19/12/2022,89.28218
20/12/2022,88.42958
21/12/2022,90.00503
22/12/2022,89.09683
23/12/2022,90.20892
27/12/2022,89.96796
28/12/2022,88.3369
29/12/2022,90.79276
30/12/2022,89.99094
3/01/2023,89.50611
4/01/2023,92.43371
5/01/2023,88.83482
6/01/2023,91.70647
9/01/2023,91.03518
10/01/2023,90.73682
11/01/2023,93.92548
12/01/2023,94.70866
13/01/2023,95.23077
17/01/2023,95.60372
18/01/2023,95.77154
19/01/2023,95.90207
20/01/2023,96.68525
23/01/2023,98.40078
24/01/2023,98.23296
25/01/2023,97.37519
